"id","name","type"
4,"Popular Mortgage","BANK"
2," Reliable Mortgage","BANK"
5,"Santander","BANK"
6,"Doral","BANK"
7,"First Mortgage","BANK"
8,"BBVA","BANK"
9,"Oriental","BANK"
10,"RG","BANK"
11,"Fembi","BANK"
12,"Otro / Other","BANK"
13,"AAA Concordia Mortgage","BANK"
14,"Advance Mortgage","BANK"
15,"Alianza Hipotecaria","BANK"
16,"Asociacion de Empleados del ELA","BANK"
17,"Autoridad para el Financiamiento de la Vivienda de PR","BANK"
18,"Banco Popular de Puerto Rico","BANK"
19,"BeeWee Mortgage","BANK"
20,"Beneficial Mortgage","BANK"
21,"BioPharma Coop","BANK"
22,"Cooperativa de A/C de Aguada","BANK"
23,"Cooperativa de A/C de Anasco","BANK"
24,"Cooperativa de A/C de Arecibo","BANK"
25,"Cooperativa de A/C de Camuy","BANK"
26,"Cooperativa de A/C de Hatillo","BANK"
27,"Cooperativa de A/C del Barrio Quebrada","BANK"
28,"Cooperativa de A/C Jesus Obrero","BANK"
29,"Cooperativa de A/C Los Hermanos","BANK"
30,"Cooperativa de A/C Manuel Zeno Gandia","BANK"
31,"Cooperativa de A/C Naguabena","BANK"
32,"Cooperativa de A/C Yabucoena","BANK"
33,"Doral Mortgage","BANK"
34,"Equity Mortgage","BANK"
35,"Eurobank Mortgage","BANK"
36,"Express Solutions Mortgage","BANK"
37,"First Mortgage Capital","BANK"
38,"First Security Mortgage","BANK"
39,"Firstbank of Puerto Rico","BANK"
40,"Fondo de Retiro de la Universidad de Puerto Rico","BANK"
41,"Golden Mortgage","BANK"
42,"Hispania Mortgage","BANK"
43,"Home Mortgage","BANK"
44,"HR Mortgage","BANK"
45,"JR Mortgage","BANK"
46,"Latin American Financial Corp","BANK"
47,"Master Mortgage","BANK"
48,"Metro Island Mortgage","BANK"
49,"Moneyhouse","BANK"
50,"Mortgage One Group","BANK"
51,"Pan American Financial Corp","BANK"
52,"Platinum Mortgage Bankers","BANK"
53,"Preferred Mortgage","BANK"
54,"Professional Mortgage","BANK"
55,"RBS Mortgage","BANK"
56,"Rendon Mortgage","BANK"
57,"RF Mortgage","BANK"
58,"RM Actual Mortgage","BANK"
59,"Scotiabank","BANK"
60,"Sistema de Retiro AEE","BANK"
61,"Sistema de Retiro de la Asociacion de Maestros de PR","BANK"
62,"Sistema de Retiro de los Empleados del Gobierno de PR","BANK"
63,"The Mortgage House","BANK"
64,"The Mortgage Loan Co","BANK"
65,"Top Mortgage","BANK"
66,"Wall Street Mortgage","BANK"
67,"Westernbank","BANK"
68,"World Mortgage Bankers","BANK"
69,"HUD","BANK"
70,"Bancoop","BANK"
71,"Trust Mortgage","BANK"
72,"The Lending Center","BANK"
73,"Cooperativa de A/C Oriental","BANK"
74,"Cash","BANK"
75,"CPG","BANK"
76,"Aurora Properties","BANK"
77,"FDIC","BANK"
