"lead_id","area_id","price_min","price_max","category_id","property_id"
1,0,NULL,NULL,1,158323
2,0,NULL,NULL,NULL,161142
3,0,NULL,NULL,NULL,160918
4,13,NULL,NULL,1,0
5,13,NULL,NULL,1,0
6,0,NULL,NULL,NULL,161096
7,0,NULL,NULL,8,0
8,66,NULL,NULL,1,0
9,0,NULL,NULL,1,0
10,0,NULL,NULL,NULL,161165
11,0,NULL,NULL,NULL,161138
12,0,NULL,NULL,NULL,0
13,0,NULL,NULL,NULL,161007
14,0,NULL,NULL,NULL,160008
15,0,NULL,NULL,NULL,158865
16,0,NULL,NULL,NULL,161056
17,13,NULL,NULL,1,0
18,0,NULL,NULL,1,0
19,13,NULL,NULL,1,0
20,7,NULL,NULL,1,0
21,0,NULL,NULL,NULL,161142
22,0,NULL,NULL,NULL,161175
23,0,NULL,NULL,NULL,161138
24,33,NULL,NULL,1,0
25,68,NULL,NULL,1,0
26,0,NULL,NULL,NULL,160977
27,0,NULL,NULL,NULL,160976
28,12,NULL,NULL,1,0
29,0,NULL,NULL,NULL,161010
30,0,NULL,NULL,NULL,0
31,64,NULL,NULL,1,0
32,0,NULL,NULL,NULL,161201
33,0,NULL,NULL,NULL,161106
34,0,NULL,NULL,NULL,161147
35,40,NULL,NULL,NULL,0
36,0,NULL,NULL,NULL,161007
37,0,NULL,NULL,NULL,160328
38,0,NULL,NULL,NULL,161201
39,0,NULL,NULL,NULL,160953
40,65,NULL,NULL,46,0
41,64,NULL,NULL,1,0
42,64,NULL,NULL,1,0
43,40,NULL,NULL,1,0
44,0,NULL,NULL,NULL,161053
45,68,NULL,NULL,1,0
46,33,NULL,NULL,1,0
47,39,NULL,NULL,1,0
48,18,NULL,NULL,46,0
49,0,NULL,NULL,NULL,160977
50,0,NULL,NULL,NULL,161094
51,13,NULL,NULL,1,0
52,13,NULL,NULL,1,0
53,0,NULL,NULL,NULL,160891
54,0,NULL,NULL,NULL,161175
55,0,NULL,NULL,NULL,160860
56,66,NULL,NULL,1,0
57,0,NULL,NULL,NULL,161150
58,13,NULL,NULL,1,0
59,0,NULL,NULL,NULL,161142
60,66,NULL,NULL,1,0
61,0,NULL,NULL,NULL,161076
62,0,NULL,NULL,NULL,0
63,0,NULL,NULL,NULL,0
64,0,NULL,NULL,NULL,160092
65,13,NULL,NULL,1,0
66,0,NULL,NULL,NULL,0
67,0,NULL,NULL,NULL,161026
68,0,NULL,NULL,NULL,0
69,0,NULL,NULL,NULL,158865
70,0,NULL,NULL,NULL,0
71,0,NULL,NULL,NULL,0
72,27,NULL,NULL,7,0
73,0,NULL,NULL,NULL,161138
74,18,NULL,NULL,7,0
75,0,NULL,NULL,NULL,160770
76,0,NULL,NULL,NULL,0
77,13,NULL,NULL,1,0
78,0,NULL,NULL,NULL,161138
79,0,NULL,NULL,NULL,161175
80,66,NULL,NULL,1,0
81,0,NULL,NULL,NULL,160869
82,0,NULL,NULL,NULL,161210
83,0,NULL,NULL,NULL,160869
84,0,NULL,NULL,NULL,160869
85,0,NULL,NULL,NULL,161215
86,0,NULL,NULL,NULL,161054
87,0,NULL,NULL,NULL,161142
88,0,NULL,NULL,NULL,160850
89,0,NULL,NULL,NULL,161164
90,0,NULL,NULL,NULL,161106
91,0,NULL,NULL,NULL,161007
92,0,NULL,NULL,NULL,160850
93,0,NULL,NULL,NULL,161142
94,0,NULL,NULL,NULL,161060
95,0,NULL,NULL,NULL,161201
96,0,NULL,NULL,NULL,160439
97,0,NULL,NULL,NULL,160010
98,0,NULL,NULL,NULL,160693
99,0,NULL,NULL,NULL,160990
100,0,NULL,NULL,NULL,160439
101,0,NULL,NULL,NULL,161185
102,0,NULL,NULL,NULL,160954
