"title_es","title_en","id","category_id","company_id","area_id","account_id","for_sale","end_at","sale_price","for_rent","rent_price","is_rent_long_term","is_rent_short_term","is_rent_time_share","is_short_sale","is_repossessed","address1","postal_code","year_built","maintenance","maintenance_price","exemption","exemption_price","latitude","longitude","catastro","financing_rural","financing_fha","financing_conventional","financing_vivienda","financing_cash","financing_loan_with_repairs","financing_private","financing_assume_mortgage","status","bathrooms","rooms","sqf","sqm","internal_number","mls_number","co_number","cpr_number","zonification","internal_notes","showing_instructions","key_number","key_box","description_es","description_en","parkings","floors","extra","category_id"
"Bo. Sardinera Parcelas Beltran ","Bo. Sardinera Parcelas Beltran ",164973,44,1,27,21393,1,20200514,2200000.00,0,0.00,0,0,0,0,0,"","",0,"",0.00,"",0.00,"","","121-099-217-16","","","","","","","","","PUBLISHED",0,0,0,0,"C-19-034","",4468006,"",NULL,"RELOCATION","LLAMAR AGENTE LISTADOR. ","","","La mejor vista de Fajardo, con acceso al mar!  Terreno en península ideal para desarrollo residencial turístico de aprox. 2.4cuerdas.  Desarrollo conceptual de 40 apartamentos de lujo.  Llámanos para más detalles!","La mejor vista de Fajardo, con acceso al mar!  Terreno en península ideal para desarrollo residencial turístico de aprox. 2.4cuerdas.  Desarrollo conceptual de 40 apartamentos de lujo.  Llámanos para más detalles!",0,0,NULL,15
"Brisas de Loiza","Brisas de Loiza",164972,1,1,15,14011,1,20200604,90000.00,0,0.00,0,0,0,0,0,"Escorpion 192","00726",0,"",0.00,"",0.00,"","","089-032-362-03-001","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"05-19-241","","","",NULL,"","Llamar a Luz Acevedo","","",NULL,NULL,NULL,NULL,NULL,1
"Santa Catalina Dev., Pajaros Ward","Santa Catalina Dev., Pajaros Ward",164971,41,1,11,32687,1,20201231,160000.00,0,0.00,0,0,0,0,0,"","",0,"",0.00,"",0.00,"","","085-061-369-05-000","","","","","","","","","PUBLISHED",0,0,0,0,"CI-CC-19-027 CC 4290106-31061","",4466268,"",NULL,"PROPIEDAD SIN TERMINAR CONTRUCCION & APARENTA ESTAR OCUPADA. ","LLAMAR AGENTE LISTADOR. ","","","Estructura residencial de cinco (5) unidades de vivienda sin terminar ubicado en la Urb. Santa Catalina, Bayamon. ","Estructura residencial de cinco (5) unidades de vivienda sin terminar ubicado en la Urb. Santa Catalina, Bayamon. ",0,0,NULL,15
" Calle Belcaire"," Calle Belcaire",164970,33,1,65,32717,1,20201231,150000.00,0,0.00,0,0,0,0,0,"","",0,"",0.00,"",0.00,"","","062-077-082-43-001","","","","","","","","","PUBLISHED",0,0,0,0,"CI-CC-19-040 CC 4320351-13511 & ","",4466258,"",NULL,"","LLAMAR AGENTE LISTADOR. ","","","Propiedad de uso mixto, comercial y residencial, de dos niveles de aprox. 2,503p2 en solar de 252m2. El primer nivel consta de dos (2) locales comerciales y un apartamento y el segundo nivel cuenta con dos (2) unidades de apartamento.","Propiedad de uso mixto, comercial y residencial, de dos niveles de aprox. 2,503p2 en solar de 252m2. El primer nivel consta de dos (2) locales comerciales y un apartamento y el segundo nivel cuenta con dos (2) unidades de apartamento.",0,0,NULL,10
"Villa Carolina","Villa Carolina",164969,8,1,16,32717,1,20201231,75000.00,0,0.00,0,0,0,0,1,"","",0,"",0.00,"",0.00,"","","064-096-156-11-000","","","","","","","","","PUBLISHED",0,0,0,0,"RI-CC-05-19-001 CC 4360041-30411","",4466205,"",NULL,"","LLAMAR AGENTE LISTADOR. ","","","Terreno de aprox. 611.74m2 ubicado en Villa Carolina. ","Terreno de aprox. 611.74m2 ubicado en Villa Carolina. ",0,0,NULL,16
"Villa Capri","Villa Capri",164968,1,1,65,32717,1,20201231,130000.00,0,0.00,0,0,0,0,1,"","",0,"",0.00,"",0.00,"","","087-026-102-09-000","","","","","","","","","PUBLISHED",3,6,3291,0,"RI-CC-05-19-003 CC 4321081-20811","",4466186,"","","","LLAMAR AGENTE LISTADOR. ","","","Residencia terrera de aprox. 3,291p2 en la Urb. Villa Capri. La misma cuenta con seis (6) habitaciones y tres (3) baños, recibidor, amplia cocina, puerta de garaje con acceso para dos vehículos grandes y terraza. Esta urbanización cuenta con control de acceso, guardia 24/7, cancha de baloncesto y paga $50 mensuales de mantenimiento. Para mas información favor llamar a Robin Ortiz al (787)368-6250.","Residencia terrera de aprox. 3,291p2 en la Urb. Villa Capri. La misma cuenta con seis (6) habitaciones y tres (3) baños, recibidor, amplia cocina, puerta de garaje con acceso para dos vehículos grandes y terraza. Esta urbanización cuenta con control de acceso, guardia 24/7, cancha de baloncesto y paga $50 mensuales de mantenimiento. Para mas información favor llamar a Robin Ortiz al (787)368-6250.",0,0,NULL,1
"Manati Medical Plaza","Manati Medical Plaza",164967,32,1,47,15798,1,20201231,120000.00,0,0.00,0,0,0,0,0,"","",0,"",0.00,"",0.00,"","","056-014-113-11-003","","","","","","","","","PUBLISHED",0,0,0,0,"CI-CC-19-037 CC 4320458-14581","",4466180,"",NULL,"","LLAMAR AGENTE LISTADOR.","","","Oficina medica de aprox. 1,700p2 localizado en Manati Medical Plaza. ","Oficina medica de aprox. 1,700p2 localizado en Manati Medical Plaza. ",0,0,NULL,9
"Manati Medical Plaza ","Manati Medical Plaza ",164966,32,1,47,15798,1,20201231,120000.00,0,0.00,0,0,0,0,0,"","",0,"",0.00,"",0.00,"","","056-014-113-11-002","","","","","","","","","PUBLISHED",0,0,0,0,"CI-CC-19-036 CC 4320458-14581","",4466173,"",NULL,"","LLAMAR AGENTE LISTADOR. ","","","Oficina medica de aprox. 1,700p2 localizado en Manati Medical Plaza. ","Oficina medica de aprox. 1,700p2 localizado en Manati Medical Plaza. ",0,0,NULL,9
"Cond. Armonia de los Prados","Cond. Armonia de los Prados",164965,47,1,13,32739,0,20200612,0.00,1,1390.00,1,0,0,0,0,"","00725",0,"",0.00,"",0.00,"","","","","","","","","","","","PUBLISHED",0,0,0,0,"A-01-19-016","",1622639,"",NULL,"","Llamar a Sonia",29,"","¡¡Vive en un Resort !!! Se renta hermoso Penthouse de dos niveles en Armonia Los Prados Caguas.
Consta de 3 Habitaciones,3 baños,sala, comedor, cocina , kitchen Aid, family y terraza con una hermosa vista.
Listo para mudarse con facilidades de 2 estacionamiento,3piscinas, gimnasio,cancha de tenis,casa club,mini club,salon de aerobicos,parque pasivo y seguridad las 24 horas a pasos de centro comercial Los Prados y a 5 minutos de expreso #52. Incluye estufa,nevera,lavaplatos,tv,lavadora,secadora,calentador,juego de comedor,mueble,lámparas y cortinas “blackout

¡Aprovecha esta excelente oportunidad en bienes raíces en Puerto Rico! ¡Visítanos!
\"PORQUE VENDEMOS TU PROPIEDAD EN TIEMPO RECORD\". Para ver ésta y más propiedades acceda: www.realityrealtypr.com.

","¡¡Vive en un Resort !!! Se renta hermoso Penthouse de dos niveles en Armonia Los Prados Caguas.
Consta de 3 Habitaciones,3 baños,sala, comedor, cocina , kitchen Aid, family y terraza con una hermosa vista.
Listo para mudarse con facilidades de 2 estacionamiento,3piscinas, gimnasio,cancha de tenis,casa club,mini club,salon de aerobicos,parque pasivo y seguridad las 24 horas a pasos de centro comercial Los Prados y a 5 minutos de expreso #52. Incluye estufa,nevera,lavaplatos,tv,lavadora,secadora,calentador,juego de comedor,mueble,lámparas y cortinas “blackout

¡Aprovecha esta excelente oportunidad en bienes raíces en Puerto Rico! ¡Visítanos!
\"PORQUE VENDEMOS TU PROPIEDAD EN TIEMPO RECORD\". Para ver ésta y más propiedades acceda: www.realityrealtypr.com.

